CISCO INTERNATIONAL LIMITED|Cisco Systems, Inc.|Public|Nasdaq|CSCO|Networking hardware||December 10, 1984|San Jose, California||| | | | | |77,500 |['https://www.cisco.com']
AMERICAN EXPRESS SERVICES EUROPE LIMITED|American Express Company|Public|New York Stock Exchange|AXP|Banking|Livingston, Fargo & Company|March 18, 1850|200 Vesey Street|Stephen J. Squeri|Finance| | | | | |63,700 |['https://www.americanexpress.com/']
COCA-COLA EUROPEAN PARTNERS PLC|Coca-Cola Europacific Partners plc|Public limited company|London Stock Exchange|CCEP|Beverages||28 May 2016|Uxbridge|Sol Daurella|| €13.5 billion (2020)| €1.5 billion (2020)||||33,200 (2021)|['http://www.cocacolaep.com/']
JOHNSON MATTHEY PLC|Johnson Matthey plc|Public limited company|London Stock Exchange|JMAT|Chemicals||1817|London, England, UK|Patrick Thomas (chair­person) || | | |||13,939 (2020)|['https://www.matthey.com']
FINANCIAL OMBUDSMAN SERVICE LIMITED|Financial Ombudsman Service|Ombudsman||||||London|||||||||['https://www.financial-ombudsman.org.uk']
AGGREKO PLC|Aggreko plc|Public limited company|London Stock Exchange|AGK|Generator hire||1962|Glasgow|Ken Hanna, || £1,365 million (2020)| £136 million (2020)| £(111) million (2020)||||['http://www.aggreko.com']
ASOS PLC|ASOS plc|Public|London Stock Exchange|ASC|Clothing industry||3 June 2000|London|Adam Crozier|| £3.17 billion (2020)||£25 million (2019)|||4,000+ (2019)|['http://asos.com', 'http://asosplc.com', 'http://marketplace.asos.com']
SAVILLS (UK) LIMITED|Savills plc|Public|London Stock Exchange|SVS|Real estate||1855|"33 Margaret Street,"||| | | |||39,000 (2021)|['http://www.savills.co.uk']
EXPERIAN LIMITED|Experian plc|Public limited company|London Stock Exchange|EXPN|Business services||1996|Dublin|Mike Rogers (chair­person) || | US$1.185 billion | US$675 million | US$8.899 billion | US$2.275 billion |17,800 |['https://www.experian.com/', 'https://www.wikidata.org/wiki/Q692157#P856']
CIVICA UK LIMITED|Civica|Private company|||Software and IT services||London|London||Specialist enterprise software, digital solutions and managed services for national, regional and local government, health & care, social housing, education and public safety together with regulated markets including travel and transport, utilities and financial services|||||||['https://www.civica.com']
HARGREAVES LANSDOWN ASSET MANAGEMENT LIMITED|Hargreaves Lansdown plc|Public limited company|London Stock Exchange|HL.|Financial services||1 July 1981|Bristol|Deanna Oppenheimer (chair­person) || | | |||circa 1,700 (2021)|['https://www.hl.co.uk']
KINGFISHER PLC|Kingfisher plc|Public limited company|London Stock Exchange|KGF|Retail||1982|London|Andy Cosslett||£|£946 million (2020)|£592 million (2020)|||79,000 (2021)|['https://www.kingfisher.com']
CENTRICA PLC|Centrica plc|Public limited company|London Stock Exchange|CNA|Utilities||17 February 1997|Windsor|Scott Wheway|| | £0.447 billion (2020)| £(0.117) billion (2020)|  £17.119 billion (2020)|  £0.957 million (2020)|25,753 (2020)|['http://www.centrica.com/']
FUJITSU SERVICES LIMITED|Fujitsu Limited|Public Company (|Tokyo Stock Exchange|6702|Computer hardware||June 20, 1935|Shiodome City Center|Masami Yamamoto || | | | | |129,000 (2021)|['http://www.fujitsu.com']
OCADO GROUP PLC|Ocado Group plc|Public limited company|London Stock Exchange|OCDO|Online shopping||April 2000|Hatfield|Lord Rose|Groceries, | £2,331.8 million (2020)| £(95.8) million (2020)| £(69.6) million (2020)||||['https://www.ocadogroup.com']
COLT TECHNOLOGY SERVICES GROUP LIMITED|Colt Technology Services Group Limited||||Telecoms||1992 (London)|London|Michael Wilens (||||||||['https://www.colt.net']
DYSON INTERNATIONAL LIMITED|Dyson Ltd.|Private limited company|||Household appliances||8 July 1991|Malmesbury|James Dyson || || US$1.5 billion (2019)|||13,000+ (2020)|['https://www.dyson.co.uk', 'https://www.wikidata.org/wiki/Q621429#P856']
BABCOCK INTERNATIONAL GROUP PLC|Babcock International Group plc|Public limited company|London Stock Exchange|BAB|Aerospace and Defence||1891|London|Ruth Cairnie (|| | | |||34,220 (2020)|['http://babcockinternational.com']
CLOSE BROTHERS LIMITED|Close Brothers Group plc|Public|London Stock Exchange|CBG|Financial services||1878|London|Mike Biggs (|| | | ||||['http://www.closebrothers.com']
BANK OF ENGLAND|Governor and Company of the Bank of England|||||||Threadneedle Street|||||||||['https://www.bankofengland.co.uk']
QINETIQ LIMITED|QinetiQ Group plc|Public limited company|London Stock Exchange|QQ.|Aerospace||2001|Farnborough|Mark Elliott (chairman) || | | |||6,061 (2020)|['http://qinetiq.com']
SERCO GROUP PLC|Serco Group plc|Public limited company|London Stock Exchange|SRP|Government Services||1929|Hook|Sir || | £179.2 million (2020)| £134.0 million (2020)|||50,000 (2021)|['https://www.serco.com']
MICROSOFT LIMITED|Microsoft Corporation|Public|Nasdaq|MSFT|Software development|Traf-O-Data|April 4, 1975|One Microsoft Way|Chairman|| | | | | | 166,475|['https://www.microsoft.com']
HOGAN LOVELLS INTERNATIONAL LLP|Hogan Lovells|||||||London, United Kingdom|Miguel Zaldivar||" US$2.246 billion/"||||||['https://www.hoganlovells.com/', 'https://www.wikidata.org/wiki/Q784403#P856']
UNITED UTILITIES WATER LIMITED|United Utilities Group plc|Public limited company|London Stock Exchange|UU.|Water industry||1995|Warrington|Sir David Higgins|| | | ||||['http://www.unitedutilities.com/']
BALFOUR BEATTY GROUP LIMITED|Balfour Beatty plc|Public limited company|London Stock Exchange|BBY|Infrastructure: professional services, construction services, support services, infrastructure investments||1909|London|Philip Aiken|| | | |||26,000 (2021)|['http://www.balfourbeatty.com']
CHUBB SERVICES UK LIMITED|Chubb Limited|Public|New York Stock Exchange|CB|Insurance||Hamilton, Bermuda|Zürich|Evan G. Greenberg|| US$ 19.138 billion (2015)| US$ 3.296 billion (2015)| US$ 2.834 billion (2015)| US$ 102.306 billion (2015)||31,000|['http://chubb.com']
CREDIT SUISSE AG|Credit Suisse Group AG|Public|SIX Swiss Exchange|CSGN|Financial services||1856|Paradeplatz|António Horta-Osório|| | CHF 3.865 billion (2020)| CHF 2.847 billion (2020)| CHF 892.995 billion (2020)| CHF 50.02 billion (Q3 2020)| 47,860 |['http://www.credit-suisse.com']
RELX GROUP PLC|RELX|Public limited company|London Stock Exchange|REL|Information and analytics|Elsevier|1993|London|Sir Anthony Habgood|| | | | | |"33,200 "|['http://www.relx.com/']
NORTON ROSE FULBRIGHT LLP|Norton Rose Fulbright||||||||Gerry Pecht||||||||['http://www.nortonrosefulbright.com/']
SIEMENS PUBLIC LIMITED COMPANY|Siemens AG|Public|Frankfurt Stock Exchange|SIE|Conglomerate||1 October 1847|Munich|Jim Hagemann Snabe|Business services| €57.139 billion (2020)| €5.672 billion (2020)| €4.2 billion (2020)| €123.897 billion (2020)| €39.823 billion (2020)|293,000 (2020)|['https://www.siemens.com/']
POST OFFICE LIMITED|Post Office Ltd|State-owned|||Postal service||1986|Post Office Ltd, Finsbury Dials, 20 Finsbury Street, London, EC2Y 9AQ|Tim Parker|||||||5,020|['https://www.postoffice.co.uk']
BARCLAYS INVESTMENT SOLUTIONS LIMITED|Barclays Investment Bank|Investment Bank|||Investment Banking||1997|London||| £10.53 billion (2016)||||||['https://www.investmentbank.barclays.com']
YORKSHIRE BUILDING SOCIETY|Yorkshire Building Society|Building society|||Financial services||19 August 1864|Bradford|Mike Regnier||||£152 million | ||3,300|['http://www.ybs.co.uk']
ITV PLC|ITV plc|Public limited company|London Stock Exchange|ITV|Media||22 September 1955|London|Peter Bazalgette|| |  |  ||||['https://www.itvplc.com']
ARUP GROUP LIMITED|Arup Group Limited|Private|||Design, Engineering, Architecture and Business consultation|Arup & Arup Ltd (1938–1946)|1 April 1946|London|Alan Belfield |Consultancy services| | £63.6 million (2020)| £37 million (2020)| £336.1 million (2020)|| 15,608 (2020)|['http://www.arup.com']
AON UK LIMITED|Aon plc|Public limited company|New York Stock Exchange|AON|Professional services||1982|London, United Kingdom|Lester B. Knight|Risk Consulting| US$10 billion (£8 billion as of 2017| $1.63 billion (£1.3 billion as of 2017| $1.22 billion (£1 billion as of 2017| $26.08 billion (£20.6 billion as of 2017| $4.58 billion (£3.8 billion as of 2017|50,000 (2017)|['https://www.aon.com/', 'https://www.wikidata.org/wiki/Q739518#P856']
CAPITA BUSINESS SERVICES LTD|Capita plc|Public limited company|London Stock Exchange|CPI|Business process outsourcing||1984|London|Sir Ian Powell (Chairman) || | | |||61,000 (2021)|['http://www.capita.com']
